"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
-1.24,"*CC(=O)N(C)CC(*)=O",1,"CC(=O)N(C)CC=O",115.13199999999999,"[H]C(=O)C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])[H]"
0.765,"*C(=O)CN(C)C(=O)COc1cccc(C(C)=O)c1",1,"CC(=O)c1cccc(OCC(=O)N(C)CC=O)c1",249.26599999999993,"[H]C(=O)C([H])([H])N(C(=O)C([H])([H])Oc1c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c1[H])C([H])([H])[H]"
0.807,"*N(C)CC(=O)Nc1ccc(OC)cc1",1,"CNCC(=O)Nc1ccc(OC)cc1",194.23399999999998,"[H]c1c([H])c(N([H])C(=O)C([H])([H])N([H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]"
0.768,"*C(=O)CN(C)C(=O)c1cc(*)nc2ccccc12",1,"CN(CC=O)C(=O)c1ccnc2ccccc12",228.251,"[H]C(=O)C([H])([H])N(C(=O)c1c([H])c([H])nc2c([H])c([H])c([H])c([H])c12)C([H])([H])[H]"
-1.762,"*S(=O)(=O)CCCNC(=N)N",1,"N=C(N)NCCC[SH](=O)=O",165.21800000000002,"[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])S([H])(=O)=O"
0.532,"*NCC(c1ccccc1)N(C)C",1,"CN(C)C(CN)c1ccccc1",164.252,"[H]c1c([H])c([H])c(C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])N([H])[H])c([H])c1[H]"
0.916,"*N1CCN(S(=O)(=O)c2ccc(OC)cc2)CC1",1,"COc1ccc(S(=O)(=O)N2CCNCC2)cc1",256.32699999999994,"[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c([H])c1OC([H])([H])[H]"
0.894,"*C(=O)C1COc2ccccc2O1",1,"O=CC1COc2ccccc2O1",164.15999999999997,"[H]C(=O)C1([H])Oc2c([H])c([H])c([H])c([H])c2OC1([H])[H]"
-0.61,"*OCC(=O)c1c(N)n(C)c(=O)n(C)c1=O",1,"Cn1c(N)c(C(=O)CO)c(=O)n(C)c1=O",213.19299999999996,"[H]OC([H])([H])C(=O)c1c(N([H])[H])n(C([H])([H])[H])c(=O)n(C([H])([H])[H])c1=O"
1.508,"*C(=O)c1ccccc1-c1ccc(/C=C2\SC(=O)N(*)C2=O)o1",1,"O=Cc1ccccc1-c1ccc(/C=C2\SC(=O)NC2=O)o1",299.3070000000001,"[H]C(=O)c1c([H])c([H])c([H])c([H])c1-c1oc(/C([H])=C2\SC(=O)N([H])C2=O)c([H])c1[H]"
0.495,"*N1CCC(C(=O)OC)CC1",1,"COC(=O)C1CCNCC1",143.18599999999998,"[H]N1C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])C1([H])[H]"
0.808,"*N/N=C/c1ccoc1",1,"N/N=C/c1ccoc1",110.11599999999997,"[H]/C(=N\N([H])[H])c1c([H])oc([H])c1[H]"
1.634,"*c1cc(C(=O)N2CCC(C(=O)OC)CC2)c2ccccc2n1",1,"COC(=O)C1CCN(C(=O)c2ccnc3ccccc23)CC1",298.34200000000016,"[H]c1nc2c([H])c([H])c([H])c([H])c2c(C(=O)N2C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])C2([H])[H])c1[H]"
0.234,"*CC(=O)Nc1cc(N*)ccc1[N+](=O)[O-]",1,"CC(=O)Nc1cc(N)ccc1[N+](=O)[O-]",195.178,"[H]c1c([H])c([N+](=O)[O-])c(N([H])C(=O)C([H])([H])[H])c([H])c1N([H])[H]"
2.217,"*Cc1ccc(-c2cccc(C(=O)O)c2)o1",1,"Cc1ccc(-c2cccc(C(=O)O)c2)o1",202.20899999999997,"[H]OC(=O)c1c([H])c([H])c([H])c(-c2oc(C([H])([H])[H])c([H])c2[H])c1[H]"
0.675,"*C(C)C(=O)OCC",1,"CCOC(=O)CC",102.133,"[H]C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])[H]"
2.842,"*Nc1cccc2c1C(=O)c1ccccc1C2=O",1,"Nc1cccc2c1C(=O)c1ccccc1C2=O",223.231,"[H]c1c([H])c([H])c2c(c1[H])C(=O)c1c([H])c([H])c([H])c(N([H])[H])c1C2=O"
2.668,"*C(=O)c1cc(-c2ccc(*)cc2)nn1-c1ccccc1C(=O)O",1,"O=Cc1cc(-c2ccccc2)nn1-c1ccccc1C(=O)O",292.29400000000004,"[H]OC(=O)c1c([H])c([H])c([H])c([H])c1-n1nc(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1C([H])=O"
0.48,"*C(=O)CCN(CC)CC",1,"CCN(CC)CCC=O",129.203,"[H]C(=O)C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]"
0.706,"*OCC(=O)NCc1ccccc1OC",1,"COc1ccccc1CNC(=O)CO",195.21799999999996,"[H]OC([H])([H])C(=O)N([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H]"
0.635,"*NCc1ccccc1OC",1,"COc1ccccc1CN",137.18199999999996,"[H]c1c([H])c([H])c(C([H])([H])N([H])[H])c(OC([H])([H])[H])c1[H]"
2.166,"*C(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12",1,"O=CCOC(=O)c1cc(-c2ccco2)nc2ccccc12",281.267,"[H]C(=O)C([H])([H])OC(=O)c1c([H])c(-c2oc([H])c([H])c2[H])nc2c([H])c([H])c([H])c([H])c12"
