"LogD","IDNUMBER","NEW_SMILES","AMW","SMILES_H"
2.32,"F6541-4560","OCC1CCCN1Cc1cc(Br)cs1",276.199,"[H]OC([H])([H])C1([H])N(C([H])([H])c2sc([H])c(Br)c2[H])C([H])([H])C([H])([H])C1([H])[H]"
0.936,"F1913-1912","O=C1NCC2(CC2)C1(F)F",147.124,"[H]N1C(=O)C(F)(F)C2(C1([H])[H])C([H])([H])C2([H])[H]"
0.368,"F8884-4708","OCC1CCOC1C1CC1",142.19799999999998,"[H]OC([H])([H])C1([H])C([H])([H])C([H])([H])OC1([H])C1([H])C([H])([H])C1([H])[H]"
2.206,"F6619-0788","OC1COCC1Oc1ccc(Br)cc1",259.099,"[H]OC1([H])C([H])([H])OC([H])([H])C1([H])Oc1c([H])c([H])c(Br)c([H])c1[H]"
1.144,"F8883-1402","OC1(c2ccsc2)CC1",140.20699999999997,"[H]OC1(c2c([H])sc([H])c2[H])C([H])([H])C1([H])[H]"
0.163,"F6619-1645","CC(C)(C)NC1CCC1(C)O",157.257,"[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]"
2.291,"F6666-5157","COc1ccc(NC(=O)C2CC2)c(C)c1",205.25699999999998,"[H]c1c([H])c(N([H])C(=O)C2([H])C([H])([H])C2([H])[H])c(C([H])([H])[H])c([H])c1OC([H])([H])[H]"
0.827,"F8885-5000","O=c1cc(Cl)[nH]c(=O)n1C1CC1",186.59799999999998,"[H]c1c(Cl)n([H])c(=O)n(C2([H])C([H])([H])C2([H])[H])c1=O"
0.649,"F1905-9009","CN1C(=O)CSC(C(=O)O)C1c1ccccc1",251.30700000000004,"[H]OC(=O)C1([H])SC([H])([H])C(=O)N(C([H])([H])[H])C1([H])c1c([H])c([H])c([H])c([H])c1[H]"
1.618,"F2198-0031","FC(F)(F)c1[nH]nc2c1COCC2",192.13999999999996,"[H]n1nc2c(c1C(F)(F)F)C([H])([H])OC([H])([H])C2([H])[H]"
0.423,"F8888-6154","COc1cc(=NC2CCNCC2)[nH]cn1",208.26500000000001,"[H]c1c(OC([H])([H])[H])nc([H])n([H])c1=NC1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H]"
0.737,"F6616-3560","Cc1nc(Cn2ccnc2)co1",163.18,"[H]c1nc([H])n(C([H])([H])c2nc(C([H])([H])[H])oc2[H])c1[H]"
1.057,"F2167-9541","NCC1Cc2cccc(Br)c2O1",228.08899999999994,"[H]c1c([H])c(Br)c2c(c1[H])C([H])([H])C([H])(C([H])([H])N([H])[H])O2"
2.905,"F6516-1562","CC(C)(C)C(=O)NCc1ccc(-c2ccoc2)o1",247.294,"[H]c1oc([H])c(-c2oc(C([H])([H])N([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c1[H]"
0.094,"F6541-4785","O=C(NC1CCCC1)N1CCC(O)C1",198.266,"[H]OC1([H])C([H])([H])N(C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]"
1.084,"F6543-8555","COCC(=O)N1Cc2ccccc2C1",191.23,"[H]c1c([H])c([H])c2c(c1[H])C([H])([H])N(C(=O)C([H])([H])OC([H])([H])[H])C2([H])[H]"
1.789,"F6616-1316","c1ccc(SCc2cocn2)nc1",192.243,"[H]c1nc(C([H])([H])Sc2nc([H])c([H])c([H])c2[H])c([H])o1"
2.19,"F6708-8268","CC(=O)N1CC2(CC(c3ccccc3)C2)C1",215.296,"[H]c1c([H])c([H])c(C2([H])C([H])([H])C3(C([H])([H])N(C(=O)C([H])([H])[H])C3([H])[H])C2([H])[H])c([H])c1[H]"
-0.377,"F1905-6611","Cc1nnc(C2(N)CC2)o1",139.15800000000002,"[H]N([H])C1(c2nnc(C([H])([H])[H])o2)C([H])([H])C1([H])[H]"
0.904,"F1905-0870","COCC(=O)NC1CCCC1",157.21299999999997,"[H]N(C(=O)C([H])([H])OC([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
2.705,"F6616-7259","Cn1cc(NC(=O)c2cc(Br)cs2)cn1",286.154,"[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1sc([H])c(Br)c1[H]"
2.304,"F6619-1658","Cc1ccc2cccc(OC3CCC3(C)O)c2n1",243.30599999999995,"[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])Oc1c([H])c([H])c([H])c2c([H])c([H])c(C([H])([H])[H])nc12"
1.856,"F5831-7470","O=C(NCc1ccsc1)C1CCC1",195.28699999999995,"[H]c1sc([H])c(C([H])([H])N([H])C(=O)C2([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]"
1.884,"F2147-0620","O=C(O)CSC1CCCC1",160.23799999999997,"[H]OC(=O)C([H])([H])SC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
2.763,"F6222-0006","CN(C)c1ncc(NC(=O)C(C)(C)C)cn1",222.29199999999997,"[H]c1nc(N(C([H])([H])[H])C([H])([H])[H])nc([H])c1N([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]"
0.314,"F2147-0913","Cc1cc(CCO)on1",127.143,"[H]OC([H])([H])C([H])([H])c1onc(C([H])([H])[H])c1[H]"
1.006,"F6663-6182","CNC(=O)c1cccnc1SC",182.248,"[H]c1nc(SC([H])([H])[H])c(C(=O)N([H])C([H])([H])[H])c([H])c1[H]"
2.893,"F8881-7775","O=C(O)C1CC1c1cnn(-c2ccccc2)c1",228.25100000000003,"[H]OC(=O)C1([H])C([H])([H])C1([H])c1c([H])nn(-c2c([H])c([H])c([H])c([H])c2[H])c1[H]"
2.837,"F8884-6277","CC(C)(CCO)c1ccccc1",164.248,"[H]OC([H])([H])C([H])([H])C(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H]"
1.181,"F8886-7653","Cc1ccc(C(=O)O)cc1C#N",161.16,"[H]OC(=O)c1c([H])c([H])c(C([H])([H])[H])c(C#N)c1[H]"
1.055,"F2167-2714","FC(F)(F)COC1CNC1",155.119,"[H]N1C([H])([H])C([H])(OC([H])([H])C(F)(F)F)C1([H])[H]"
-1.104,"F2197-0097","C1NCC2COCC12",113.16,"[H]N1C([H])([H])C2([H])C([H])([H])OC([H])([H])C2([H])C1([H])[H]"
2.396,"F2167-0522","CC(C)(C)SCC1CCCN1",173.32499999999996,"[H]N1C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])SC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]"
0.851,"F2196-0116","NC1CCOC2(CCCC2)C1",155.24099999999999,"[H]N([H])C1([H])C([H])([H])C([H])([H])OC2(C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C1([H])[H]"
1.33,"F1957-0161","Cc1nc2[nH]c(=N)ccc2c(C)c1C",187.24599999999995,"[H]N=c1c([H])c([H])c2c(C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])nc2n1[H]"
-0.008,"F9995-0122","CC(=O)Nc1ccc(CC(=O)O)cc1",193.202,"[H]OC(=O)C([H])([H])c1c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c1[H]"
1.31,"F2148-0272","COC(C)(CN)c1ccccc1F",183.226,"[H]c1c([H])c([H])c(C(OC([H])([H])[H])(C([H])([H])[H])C([H])([H])N([H])[H])c(F)c1[H]"
0.77,"F9995-1192","CC1CCCC1CN",113.20400000000001,"[H]N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H]"
1.251,"F6662-1726","N#Cc1cccc(C(=O)NC2CC2)c1",186.21399999999997,"[H]c1c([H])c(C#N)c([H])c(C(=O)N([H])C2([H])C([H])([H])C2([H])[H])c1[H]"
