SCAFFOLD,AMOUNT,FREQUENCY,DATABASE,DNMT1,LigBuilder,AlvaBuilder
O=c1c(=Cc2ccc(-c3ccccc3)o2)sc2nc3ccccc3n12,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1c(-c2ccccc2)coc2ccccc12,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = 1 (0.02%)
O=S(=O)(c1ccccc1)c1cccc2c(S(=O)(=O)c3ccccc3)cccc12,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = 1 (0.02%)
O=S(=O)(c1ccccc1)c1ccccc1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = 1 (0.02%)
O=c1[nH]nc2c3c(cccc13)-c1ccccc1-2,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1[nH]cnc2c1ncn2C1CCCO1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1[nH]ccc(=NCc2ccccc2)[nH]1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1[nH]ccc(=NCCNCCCOc2ccc3c(=NCCCc4ccccc4)[nH]cnc3c2)[nH]1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1[nH]ccc(=NCCN2CCC(COc3ccc4c(=NCCCc5ccccc5)[nH]cnc4c3)CC2)[nH]1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1coc(-c2ccc3nncn3c2)c1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1cc(CSc2nnnn2-c2ccccc2)[nH]c(N=c2ncc3ccccc3[nH]2)n1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NCc3ccc(C4CCCCC4)cc3)c3ccc(OCCCN4CCCC4)cc3[nH]2)c1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1cc[nH]c(=O)n1Cc1ccco1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NCC3CCNCC3)c3ccc(OC4CC5(CNC5)C4)cc3[nH]2)c1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1[nH]c(=NCc2ccccc2)ccn1C1CCCO1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1cc2c(=NC3CCNCC3)cc(C3CCCO3)[nH]c2cc1OCCCN1CCCC1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=S(=O)(Oc1ccc(C2=NOC3CNCC23)cc1)c1ccccc1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1cc2c(=NC3CCNCC3)[nH]c(N3CCCCC3)nc2cc1OCCCN1CCCC1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
